Map,WinGame,WinPistol,AgentsTeam1,AgentsTeam2
Fracture,TeamA,TeamB,"['Fade', 'Omen', 'Raze', 'Breach', 'Killjoy']","['Raze', 'Omen', 'Reyna', 'Breach', 'Fade']"
Bind,TeamB,TeamB,"['Brimstone', 'Raze', 'Yoru', 'Killjoy', 'Skye']","['Jett', 'Chamber', 'Raze', 'Brimstone', 'Sova']"
Breeze,TeamB,TeamB,"['Jett', 'Reyna', 'Sova', 'Cypher', 'Viper']","['Kayo', 'Viper', 'Sova', 'Jett', 'Raze']"
Pearl,TeamA,TeamB,"['Cypher', 'Phoenix', 'Reyna', 'Astra', 'Fade']","['Fade', 'Phoenix', 'Jett', 'Astra', 'Cypher']"
Icebox,TeamB,TeamB,"['Killjoy', 'Skye', 'Viper', 'Raze', 'Jett']","['Reyna', 'Killjoy', 'Viper', 'Jett', 'Sova']"
Pearl,TeamB,TeamB,"['Killjoy', 'Reyna', 'Jett', 'Skye', 'Sova']","['Fade', 'Reyna', 'Killjoy', 'Astra', 'Jett']"
Breeze,TeamA,TeamB,"['Sova', 'Cypher', 'Reyna', 'Jett', 'Viper']","['Cypher', 'Kayo', 'Jett', 'Viper', 'Sova']"
Ascent,TeamB,TeamB,"['Killjoy', 'Kayo', 'Fade', 'Jett', 'Omen']","['Kayo', 'Jett', 'Sova', 'Killjoy', 'Omen']"
Icebox,TeamA,TeamB,"['Jett', 'Reyna', 'Killjoy', 'Sova', 'Viper']","['Killjoy', 'Sova', 'Viper', 'Reyna', 'Jett']"
Fracture,TeamA,TeamB,"['Omen', 'Kayo', 'Killjoy', 'Raze', 'Breach']","['Jett', 'Killjoy', 'Brimstone', 'Breach', 'Reyna']"
Breeze,TeamA,TeamB,"['Viper', 'Reyna', 'Kayo', 'Cypher', 'Sova']","['Jett', 'Sova', 'Viper', 'Cypher', 'Kayo']"
Bind,TeamB,TeamB,"['Jett', 'Raze', 'Skye', 'Sage', 'Brimstone']","['Sova', 'Raze', 'Jett', 'Brimstone', 'Cypher']"
Pearl,TeamA,TeamB,"['Killjoy', 'Jett', 'Astra', 'Breach', 'Skye']","['Reyna', 'Harbor', 'Astra', 'Fade', 'Yoru']"
Ascent,TeamA,TeamB,"['Jett', 'Omen', 'Kayo', 'Killjoy', 'Skye']","['Phoenix', 'Sova', 'Brimstone', 'Killjoy', 'Jett']"
Icebox,TeamB,TeamB,"['Sova', 'Jett', 'Chamber', 'Viper', 'Skye']","['Viper', 'Sova', 'Reyna', 'Killjoy', 'Sage']"
Pearl,TeamA,TeamB,"['Phoenix', 'Astra', 'Killjoy', 'Sova', 'Kayo']","['Brimstone', 'Raze', 'Fade', 'Killjoy', 'Kayo']"
Bind,TeamA,TeamB,"['Raze', 'Astra', 'Sage', 'Sova', 'Cypher']","['Raze', 'Fade', 'Sova', 'Cypher', 'Brimstone']"
Haven,TeamB,TeamB,"['Omen', 'Reyna', 'Killjoy', 'Sova', 'Viper']","['Jett', 'Reyna', 'Killjoy', 'Sova', 'Omen']"
Haven,TeamB,TeamB,"['Omen', 'Sova', 'Jett', 'Cypher', 'Skye']","['Reyna', 'Jett', 'Omen', 'Sova', 'Skye']"
Pearl,TeamB,TeamB,"['Reyna', 'Fade', 'Brimstone', 'Cypher', 'Jett']","['Phoenix', 'Jett', 'Cypher', 'Astra', 'Fade']"
Bind,TeamB,TeamB,"['Cypher', 'Skye', 'Raze', 'Fade', 'Brimstone']","['Phoenix', 'Fade', 'Brimstone', 'Raze', 'Cypher']"
Fracture,TeamB,TeamB,"['Breach', 'Killjoy', 'Fade', 'Raze', 'Brimstone']","['Kayo', 'Cypher', 'Jett', 'Breach', 'Omen']"
Icebox,TeamA,TeamB,"['Raze', 'Sova', 'Jett', 'Viper', 'Sage']","['Reyna', 'Sova', 'Killjoy', 'Viper', 'Raze']"
Icebox,TeamB,TeamB,"['Viper', 'Sova', 'Jett', 'Killjoy', 'Kayo']","['Raze', 'Killjoy', 'Viper', 'Sova', 'Kayo']"
Breeze,TeamA,TeamB,"['Neon', 'Viper', 'Jett', 'Sova', 'Cypher']","['Chamber', 'Jett', 'Viper', 'Kayo', 'Sova']"
Ascent,TeamB,TeamB,"['Sova', 'Killjoy', 'Astra', 'Jett', 'Kayo']","['Jett', 'Reyna', 'Omen', 'Chamber', 'Sova']"
Pearl,TeamA,TeamB,"['Raze', 'Reyna', 'Killjoy', 'Fade', 'Harbor']","['Reyna', 'Astra', 'Fade', 'Sova', 'Cypher']"
Haven,TeamA,TeamB,"['Jett', 'Killjoy', 'Fade', 'Kayo', 'Omen']","['Raze', 'Jett', 'Sova', 'Astra', 'Cypher']"
Ascent,TeamB,TeamB,"['Jett', 'Phoenix', 'Cypher', 'Fade', 'Astra']","['Jett', 'Sova', 'Kayo', 'Omen', 'Killjoy']"
Haven,TeamB,TeamB,"['Fade', 'Killjoy', 'Jett', 'Omen', 'Raze']","['Omen', 'Killjoy', 'Jett', 'Sova', 'Reyna']"
Breeze,TeamA,TeamB,"['Sova', 'Jett', 'Reyna', 'Kayo', 'Viper']","['Reyna', 'Jett', 'Cypher', 'Viper', 'Sova']"
Bind,TeamA,TeamB,"['Raze', 'Viper', 'Brimstone', 'Sova', 'Killjoy']","['Skye', 'Jett', 'Raze', 'Cypher', 'Omen']"
Pearl,TeamA,TeamB,"['Astra', 'Chamber', 'Sova', 'Reyna', 'Yoru']","['Jett', 'Kayo', 'Fade', 'Astra', 'Cypher']"
Icebox,TeamB,TeamB,"['Viper', 'Killjoy', 'Jett', 'Sova', 'Reyna']","['Reyna', 'Sova', 'Viper', 'Killjoy', 'Raze']"
Ascent,TeamB,TeamB,"['Omen', 'Jett', 'Fade', 'Raze', 'Cypher']","['Jett', 'Kayo', 'Sova', 'Reyna', 'Omen']"
Haven,TeamA,TeamB,"['Jett', 'Phoenix', 'Omen', 'Cypher', 'Sova']","['Fade', 'Breach', 'Jett', 'Omen', 'Cypher']"
Breeze,TeamB,TeamB,"['Jett', 'Viper', 'Sova', 'Reyna', 'Cypher']","['Jett', 'Reyna', 'Sova', 'Viper', 'Cypher']"
Icebox,TeamB,TeamB,"['Killjoy', 'Raze', 'Viper', 'Jett', 'Sova']","['Killjoy', 'Reyna', 'Jett', 'Sova', 'Viper']"
Fracture,TeamA,TeamB,"['Reyna', 'Breach', 'Raze', 'Cypher', 'Harbor']","['Chamber', 'Brimstone', 'Raze', 'Reyna', 'Breach']"
Pearl,TeamB,TeamB,"['Reyna', 'Killjoy', 'Jett', 'Astra', 'Fade']","['Skye', 'Killjoy', 'Phoenix', 'Reyna', 'Astra']"
Breeze,TeamA,TeamB,"['Cypher', 'Jett', 'Sova', 'Sage', 'Viper']","['Cypher', 'Sova', 'Viper', 'Jett', 'Kayo']"
Breeze,TeamA,TeamB,"['Cypher', 'Jett', 'Kayo', 'Sova', 'Viper']","['Reyna', 'Harbor', 'Cypher', 'Sova', 'Jett']"
Fracture,TeamA,TeamB,"['Raze', 'Fade', 'Breach', 'Brimstone', 'Cypher']","['Reyna', 'Brimstone', 'Breach', 'Raze', 'Killjoy']"
Haven,TeamA,TeamB,"['Raze', 'Phoenix', 'Cypher', 'Omen', 'Breach']","['Jett', 'Astra', 'Sova', 'Cypher', 'Kayo']"
Ascent,TeamA,TeamB,"['Fade', 'Kayo', 'Omen', 'Killjoy', 'Jett']","['Chamber', 'Phoenix', 'Jett', 'Fade', 'Omen']"
Haven,TeamA,TeamB,"['Raze', 'Jett', 'Killjoy', 'Sova', 'Omen']","['Sova', 'Jett', 'Chamber', 'Omen', 'Phoenix']"
Bind,TeamB,TeamB,"['Jett', 'Raze', 'Brimstone', 'Harbor', 'Fade']","['Raze', 'Cypher', 'Fade', 'Astra', 'Reyna']"
Pearl,TeamA,TeamB,"['Cypher', 'Astra', 'Kayo', 'Reyna', 'Fade']","['Cypher', 'Fade', 'Jett', 'Astra', 'Yoru']"
Haven,TeamA,TeamB,"['Killjoy', 'Reyna', 'Jett', 'Omen', 'Sova']","['Omen', 'Fade', 'Reyna', 'Jett', 'Killjoy']"
Breeze,TeamA,TeamB,"['Reyna', 'Cypher', 'Jett', 'Sova', 'Viper']","['Sova', 'Viper', 'Reyna', 'Jett', 'Cypher']"
Icebox,TeamB,TeamB,"['Sova', 'Killjoy', 'Reyna', 'Viper', 'Raze']","['Raze', 'Killjoy', 'Sova', 'Jett', 'Viper']"
Fracture,TeamA,TeamB,"['Raze', 'Reyna', 'Breach', 'Brimstone', 'Cypher']","['Cypher', 'Breach', 'Kayo', 'Raze', 'Brimstone']"
Bind,TeamB,TeamB,"['Raze', 'Cypher', 'Viper', 'Skye', 'Brimstone']","['Brimstone', 'Jett', 'Fade', 'Raze', 'Cypher']"
Fracture,TeamA,TeamB,"['Jett', 'Raze', 'Reyna', 'Cypher', 'Brimstone']","['Brimstone', 'Breach', 'Raze', 'Killjoy', 'Sage']"
Haven,TeamA,TeamB,"['Jett', 'Phoenix', 'Killjoy', 'Omen', 'Sova']","['Reyna', 'Omen', 'Cypher', 'Sova', 'Jett']"
Ascent,TeamB,TeamB,"['Killjoy', 'Reyna', 'Omen', 'Jett', 'Sova']","['Sage', 'Yoru', 'Sova', 'Killjoy', 'Omen']"
Breeze,TeamB,TeamB,"['Kayo', 'Sova', 'Jett', 'Cypher', 'Viper']","['Jett', 'Sova', 'Viper', 'Cypher', 'Reyna']"
Breeze,TeamA,TeamB,"['Sova', 'Cypher', 'Viper', 'Reyna', 'Kayo']","['Reyna', 'Jett', 'Cypher', 'Viper', 'Sova']"
Ascent,TeamA,TeamB,"['Reyna', 'Raze', 'Fade', 'Cypher', 'Harbor']","['Omen', 'Killjoy', 'Jett', 'Kayo', 'Sova']"
Haven,TeamA,TeamB,"['Raze', 'Killjoy', 'Omen', 'Skye', 'Fade']","['Sova', 'Breach', 'Omen', 'Jett', 'Killjoy']"
Fracture,TeamB,TeamB,"['Breach', 'Brimstone', 'Viper', 'Killjoy', 'Reyna']","['Brimstone', 'Kayo', 'Breach', 'Cypher', 'Raze']"
Icebox,TeamB,TeamB,"['Reyna', 'Jett', 'Sova', 'Killjoy', 'Viper']","['Viper', 'Jett', 'Skye', 'Sova', 'Sage']"
Icebox,TeamB,TeamB,"['Jett', 'Viper', 'Raze', 'Killjoy', 'Sova']","['Sova', 'Jett', 'Sage', 'Viper', 'Killjoy']"
Ascent,TeamA,TeamB,"['Jett', 'Raze', 'Omen', 'Killjoy', 'Sova']","['Raze', 'Sova', 'Jett', 'Killjoy', 'Omen']"
Pearl,TeamA,TeamB,"['Jett', 'Fade', 'Killjoy', 'Phoenix', 'Astra']","['Astra', 'Reyna', 'Jett', 'Fade', 'Cypher']"
